appcore\aul\aul_absent.cpp,217,1
appcore\aul\aul_teldumputil.cpp,523,2
appcore\aul\aul_teldumputil2.cpp,341,1
appcore\aul\ber\aulber_simplewirelineutil.cpp,1120,1
appcore\hzdecisionxpress\common\hgns_cnt_environ.c,422,1
appcore\interpolation\spline3d\source\bspline3dtoolbox.cpp,222,2
appcore\interpolation\spline3d\source\bsplineutils.cpp,241,4
appcore\interpolation\spline3d\source\wm5bsplinebasis.cpp,548,2
hzapplications\ait\ait\calibration\ait_tc_rottestenable.cpp,265,1
hzapplications\cmrtb\unittest\cmrt_gtest\cmrt_acqchanneloutputmgr_unittest.cpp,313,1
hzapplications\common\shareduicomp\aplmodel\aplchannel.cs,1481,1
hzapplications\common\shareduicomp\datagaugeex\common\datagaugeex.cs,1064,1
hzapplications\common\shareduicomp\datagaugeex\common\digitalgaugeex.cs,463,1
hzapplications\common\systemtestutil\datacentral.cs,242,2
hzapplications\dnm_common\arc\arcwizard\arcwzatpsconvmoduleimpl.h,287,1
hzapplications\dvdxt200\dvdxt200integrationgtestautotest\dvdxt200_toolunittestbase.cpp,181,1
hzapplications\eco\eco_common\eco_spectroscopy_module_rmfilterredistribute_impl.h,446,1
hzapplications\esda\acquisition\esda_acqmodule.cpp,547,1
hzapplications\esda\equipment\esdaa_tool.cpp,361,2
hzapplications\esda\equipment\esdab_tool.cpp,348,2
hzapplications\flcn\common\coreimpl\flcnsetflowlinetype.cpp,145,1
hzapplications\flcn\fnms\gtest\fnmstoolcontrolsampling_unittests.cpp,932,1
hzapplications\flcn\fnms_ui\mstest\fnmssamplecontrolcustomuitest.cs,425,1
hzapplications\flcn\fnms_ui\viewmodels\fnmssamplecontrolviewmodel.cs,1708,1
hzapplications\flcn\fnpa\gtest\fnpaseqmodulecleanuppumping_unittest.cpp,306,2
hzapplications\flcn\fnpa\toolcontrol\fnpaseqmodulecleanuppumping.cpp,546,1
hzapplications\flcn\fnpa_ui\viewmodels\fnpacleanupcontrolviewmodel.cs,1227,2
hzapplications\flcn\fnpa_ui\viewmodels\fnpaflowmgrutil.cs,241,1
hzapplications\flcn\fnpo\toolcontrol\fnposeqmoduleflowlinetype.cpp,157,2
hzapplications\mdt\mdcc\simulation\mdccsolenoids.cpp,90,1
hzapplications\mrx\mrx_customtables\stationsummarytabledataprovider.cs,372,1
hzapplications\ngi\graphicsmodule_gtest\tests\ngi_imagetransformationmoduleunittest.cpp,246,2
hzapplications\ngi\ngi_calibrationcheck\runcalibrationcheck.c,5112,1
hzapplications\pnx\ui\diagmonitor\pnx_diagmonitormainform.cs,1620,1
hzapplications\psp_pl\emit\emitcomputationcpp\arma_v5_fn_conv.h,79,2
hzapplications\psp_pl\emit\emitcomputationcpp\emit_comp.cpp,1432,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_init_dclfcalibration.cpp,60,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_init_output.cpp,128,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_init_padshfcalibration.cpp,80,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_init_padslfcalibration.cpp,87,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_input_struct.h,219,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_proc_mandrel_lftaucorrection.cpp,94,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_proc_pads_despiking.cpp,511,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_proc_pads_lftaucorrection.cpp,84,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_proc_pads_main.cpp,998,1
hzapplications\psp_pl\emit\emitcomputationcpp\emit_proc_zsystem_eccentricitycorrection.cpp,102,1
hzapplications\psp_pl\emit\emitcomputationcpp\emitcomputationcppunittest_gtest\sqp_impl_unittest.cpp,137,1
hzapplications\psp_pl\emit\emitcomputationcpp\sqp_impl.h,2113,3
hzapplications\psp_pl\emit\emitcomputationcpp\sqp_impl_util.cpp,409,2
hzapplications\psp_pl\emit\emitcomputationcpp\util.h,607,1
hzapplications\psp_pl\emit\emitcomputationcpp_autotest\emit_output_check.cpp,123,1
hzapplications\psp_pl\emit\emitcomputationcpp_autotest\emit_output_check.h,35,1
hzapplications\psp_pl\emit\emitcomputationcpp_autotest\emita_playback.cpp,1587,1
hzapplications\psp_pl\prmc\frontend\psp_prmc_dataport.cpp,3067,1
hzapplications\pti\acquisition\zencus_cracker.cpp,128,1
hzapplications\pti\acquisition\zencus_dataport.cpp,324,2
hzapplications\pti\acquisition\zencusserialport.cpp,666,1
hzapplications\rab\microscope_common\resistivity\microscope_cmpwfbtimg_dmodrmimpl.h,247,1
hzapplications\rab\microscope_common\resistivity\microscope_cmpwfmfimg_dmodrmimpl.h,216,1
hzapplications\seismic\vsi\ui\applicationui\deliverables\surveyselectusercontrol.cs,270,1
hzapplications\sldt\task_ui\qldt_calibrationhistory.cs,169,1
hzapplications\srpc_common\matlabutility\matlabrand.cpp,130,1
hzapplications\srpc_common\matlabutility\matlabrandn.cpp,225,1
hzapplications\taln\common\coreimpl\talnacqmodule.cpp,724,1
hzapplications\taln\common\coreimpl\talnseqmodule_firmwareupgrade.cpp,2032,2
hzapplications\taln\common\coreimpl\talntoolelement.cpp,390,1
hzapplications\taln\ftpo\computation\ftpodfmodulebase.h,88,1
hzapplications\taln\ftpo\computation\ftpologannotatordfmodule.cpp,365,1
hzapplications\taln\ftpo\ftpo_gtest\stubtestftpo.h,783,1
hzapplications\taln\ftpo\simulation\ftpocartridgesimmodules.cpp,1021,3
hzapplications\taln\ftpo\simulation\ftposimengine.h,237,2
hzapplications\taln\ftpo\toolcontrol\ftposeqmodulebase.cpp,3199,1
hzapplications\taln\ftpo\toolcontrol\ftposeqmodulemonitor.cpp,446,1
hzapplications\taln\ftqp\computation\ftqpdfmodule_dynamiccompensation_cqg.cpp,761,1
hzapplications\taln\ftqp\toolcontrol\ftfspsyncpumping.cpp,1380,2
hzapplications\taln\ftwt\equipment\fttctool.h,815,2
hzapplications\taln\ftwt\equipment\tntatoolbase.cpp,436,1
hzapplications\taln\mastercontroller\acquisition\mastercontrollerbusmasterbase.cpp,3102,1
hzapplications\taln\mastercontroller\simulation\mastercontrollersimbusmasterbase.cpp,1793,1
hzapplications\taln\mastercontroller\toolcontrol\mastercontrollerseqmodule.cpp,1246,1
hzapplications\taln\mastercontroller\toolcontrol\mastercontrollerseqmodule_initialization.cpp,1038,1
hzapplications\taln\mastercontroller\toolcontrol\mastercontrollerseqmodule_monitor.cpp,192,1
hzapplications\taln\sixfiftyvmtrctrl\toolcontrol\sixfiftyvmtrctrlseqmodule.cpp,1200,1
hzapplications\taln\sixfiftyvmtrctrl\toolcontrol\sixfiftyvmtrctrlseqmodule_rslvroffsetcalc.cpp,1311,1
hzapplications\taln\solsensor\acquisition\solsensoracqmodulebase.cpp,1806,1
hzapplications\taln\solsensor\computation\solsensordfmodule_bitspeedbase.cpp,259,1
hzapplications\taln\solsensor\computation\solsensordfmodule_pressurebase.cpp,540,1
hzapplications\taln\solsensor\simulation\solsensorsimmodulebase.cpp,1535,1
hzapplications\taln\solsensor\toolcontrol\solsensorseqmodule_energize.cpp,606,2
hzapplications\taln\talnui\650vmotor\sixfiftyvmotor_controlui.cs,1559,2
hzapplications\taln\talnui\650vmotor\sixfiftyvmotor_resolvercalcustomui.cs,1451,1
hzapplications\taln\talnui\ftpo\ftpo_customui_pumpcontrol.cs,2165,2
hzapplications\taln\talnui\mastercontroller\mastercontroller_controlui.cs,1611,2
hzapplications\taln\talnui\sharedui\taln_firmwareupgrade.cs,390,1
hzapplications\taln\talnui\sharedui\talnwidget_tempmeter.cs,933,2
hzapplications\taln\talnui\solsensor\acquisition\solsensorcontrolui.cs,1923,1
hzapplications\taln\tnpc\simulation\tnpcsimmodulebase.cpp,1207,1
hzapplications\taln\tnpc\tnpc_gtest\stubtesttnpc.h,347,1
hzapplications\taln\tnpc\toolcontrol\tnpcseqmodulebase.cpp,1486,3
hzapplications\taln\tnpc\toolcontrol\tnpcseqmodulebase.h,268,1
hzautotest\simulator\wlsimulatorhelper.cs,1955,2
hzframework\dex\dlis\dexdliswriter\singleindexwriter.cpp,492,1
hzframework\utilities\autotestlibrary\reflecthelper.cs,336,3
hzframework\utilities\servicelauncher\servicetray.cs,84,1
hzfwkutils\longpathsupport\longpathsupport_mstest\pathtests.cs,225,1
hzfwkutils\xsltheaderremover\xsltheaderremover.cs,81,1
hzproducts\editors\mstest\editors_mstest\timedepth\timedepth_mstest.cs,39,1
hzproducts\managers\deliverables\phmdiagnoseutility\diagnosemodelselector\modelselector.cs,109,1
hzproducts\managers\deliverables\phmdiagnoseutility\phmdiagnoseutility_mstest\phmdiagnoseutility_mstest.cs,42,1
hzproducts\planck\margaret\eventsubscriber\bharunsubscriber.cs,50,1
hzproducts\planck\margaret\eventsubscriber\wellmodificationsubscriber.cs,41,1
hzproducts\planck\margaret\main.cs,58,2
